id,user_id,uid_card_number,role_id,associated_type,avatar_id,user_name,timestamp
1,8035,941294,admin,1,/static/img/avatar1.png,Samuel,2024-12-06 20:36:51
2,3797,165961,user,0,/static/img/avatar8.png,Karen,2024-12-06 20:36:51
3,2164,747405,guest,1,/static/img/avatar1.png,Ursula,2024-12-06 20:36:51
4,9725,872918,guest,1,/static/img/avatar3.png,Paul,2024-12-06 20:36:51
5,2614,862766,guest,1,/static/img/avatar6.png,George,2024-12-06 20:36:51
6,1843,218473,user,1,/static/img/avatar9.png,Mia,2024-12-06 20:36:51
7,8369,162675,guest,0,/static/img/avatar7.png,George,2024-12-06 20:36:51
8,1923,930540,user,1,/static/img/avatar8.png,Hannah,2024-12-06 20:36:51
9,9593,819479,guest,1,/static/img/avatar3.png,Hannah,2024-12-06 20:36:51
10,2532,680723,guest,1,/static/img/avatar5.png,Ursula,2024-12-06 20:36:51
11,4074,983866,guest,0,/static/img/avatar4.png,Wendy,2024-12-06 20:36:51
12,7735,352831,guest,1,/static/img/avatar7.png,Jack,2024-12-06 20:36:51
13,2494,349789,guest,1,/static/img/avatar4.png,Karen,2024-12-06 20:36:51
14,4184,274155,admin,1,/static/img/avatar3.png,Olivia,2024-12-06 20:36:51
15,8194,722450,guest,0,/static/img/avatar4.png,Nathan,2024-12-06 20:36:51
16,2640,541951,guest,0,/static/img/avatar1.png,George,2024-12-06 20:36:51
17,6372,991910,admin,0,/static/img/avatar8.png,Quincy,2024-12-06 20:36:51
18,4400,319280,guest,0,/static/img/avatar6.png,Charlie,2024-12-06 20:36:51
19,8172,413442,guest,1,/static/img/avatar4.png,George,2024-12-06 20:36:51
20,7765,970917,user,0,/static/img/avatar8.png,Zane,2024-12-06 20:36:51
21,5331,211506,user,1,/static/img/avatar4.png,Alice,2024-12-06 20:36:51
22,9488,950844,user,0,/static/img/avatar7.png,Victor,2024-12-06 20:36:51
23,4115,519736,guest,0,/static/img/avatar9.png,Olivia,2024-12-06 20:36:51
24,3157,757894,user,1,/static/img/avatar5.png,Xander,2024-12-06 20:36:51
25,3818,335684,admin,0,/static/img/avatar4.png,Edward,2024-12-06 20:36:51
26,6594,927583,guest,1,/static/img/avatar1.png,Hannah,2024-12-06 20:36:51
27,4311,453008,guest,0,/static/img/avatar9.png,Zane,2024-12-06 20:36:51
28,4847,416228,admin,0,/static/img/avatar4.png,Charlie,2024-12-06 20:36:51
29,2531,490046,guest,1,/static/img/avatar7.png,Alice,2024-12-06 20:36:51
